test,scenario,mean_roi,std_roi,p5_roi,p95_roi,threshold_exceedance,B_overtakes_A_in_n_of_100
observed_gaussian,A,0.14500076227306405,0.0690001709596295,0.04696174789584685,0.27053909072986765,0.8334,
observed_gaussian,B,0.10799993061128839,0.02099998173224764,0.07816206959825282,0.14620712006640185,0.9345,
observed_gaussian,C,0.09500302450868614,0.04100073427520292,0.03674705903528313,0.16959941426867742,0.6069,
independent,A,0.14207580552111596,0.0589185674181864,0.05732338807489095,0.2483717000216263,0.8653,
independent,B,0.10710972936244711,0.01793167788230592,0.08131560170476536,0.13946054547897022,0.9595,
independent,C,0.09326497990843072,0.03501012378653475,0.04290407067348364,0.15642728319475624,0.6148,
t_copula_df5,A,0.1445326707848994,0.06868501277712373,0.04661757589574374,0.26971285825478536,0.8321,
t_copula_df5,B,0.10785746846135794,0.020904064345618815,0.07805732194887165,0.14595565885055253,0.9338,
t_copula_df5,C,0.09472487889751145,0.04081346347984308,0.03654254787936953,0.1691084569610467,0.608,
degradation_0pct,A,0.14500076227306405,0.0690001709596295,0.04696174789584685,0.27053909072986765,0.8334,
degradation_0pct,B,0.10799993061128839,0.02099998173224764,0.07816206959825282,0.14620712006640185,0.9345,
degradation_0pct,C,0.09500302450868614,0.04100073427520292,0.03674705903528313,0.16959941426867742,0.6069,
degradation_10pct,A,0.1444206629733363,0.06754412289331285,0.04811999379719587,0.26926772178290337,0.8376,
degradation_10pct,B,0.10782337924152002,0.020556838152040943,0.07851457804035517,0.14582018298653848,0.9375,
degradation_10pct,C,0.09465832250417539,0.040135532942674336,0.03743530272752482,0.1688439514975673,0.605,
degradation_25pct,A,0.14416255777681414,0.06663329104355278,0.04891989892654155,0.2650482877952095,0.8406,
degradation_25pct,B,0.10774482574902022,0.020279629386611913,0.07875802661258581,0.1445360117239216,0.9391,
degradation_25pct,C,0.0945049532815999,0.03959430566566869,0.03791061600860134,0.16633671290213808,0.6044,
bootstrap_100_resamples,,,,,,,100.0
