scenario_a,scenario_b,scenario_c
785.0269737182902,300.96890197097895,37.93440685258838
1113.4685155972509,302.66983997301986,57.05383625436134
1041.5765388801733,294.121238354895,57.60317796236791
955.3016055612445,306.1438413331977,66.76146137423555
856.901910397363,313.2592192927239,49.261527621067295
872.3729217679977,333.4168026227095,56.96488051429624
1382.3454788862264,289.94729809377236,48.835198687977595
1690.6998580873067,330.6259265908737,69.65530352681942
918.8779725491089,315.60849711095284,53.29421080457477
857.8834009324216,348.36417960423813,63.50281402085456
1023.8600302815768,348.7554214019625,51.009420469519924
876.2649884935707,324.65255034314896,45.03774697062384
1334.8753514919856,332.02020267413934,60.01607178274813
705.2384287795138,286.81482162433304,60.50888730017128
945.7431148789564,265.1689578592564,37.01046070308956
894.1564803266929,303.86655151000434,67.1207363331562
874.5177550155541,251.19943871371797,48.49440079833977
1158.5735384697505,284.0307785982223,43.88718198061608
1197.5442738543798,294.8677346750233,49.43952086872747
1195.5273005392644,300.8123698661518,50.31767743437147
1266.7263687670772,295.95915267219215,44.338752589761484
1082.0233791370815,295.9460883397384,55.238867065248314
1120.5963051494298,298.0368727822975,40.36337189099545
1093.7556018811642,270.43404826146366,32.38043782742453
756.4333250166372,287.62936604915825,59.39954635253925
738.6603879477123,292.86678595843426,62.26029521494982
1362.0394403546327,297.1596184705743,41.89486147280321
746.1122240880079,253.33759896037395,53.1607488623686
1363.496611963765,275.9356383366268,69.47078895995062
963.622033178265,324.8970069689736,47.26549421015369
1099.5298487102812,307.7946031491175,62.11175768173198
1315.7825949617752,289.8757580306229,88.62270875720154
1116.8345754237127,280.681199221043,61.47517019751896
782.3774187881988,320.55583819717816,52.12846176170554
1053.895882028419,284.6305192351081,37.88071203413557
812.593691177608,294.5490915121223,54.05399295071075
969.1947111301704,321.4134389534702,58.7310899421001
965.9554095521636,274.23777914461334,44.710765049237295
1193.9295969528605,304.10836017602355,39.8090835920442
838.6234075376849,238.70544540752795,59.51318372781771
792.5363238066883,337.9279838636302,71.40448235622797
1204.4060304674272,301.82616513520776,53.264595547310805
867.8329613647726,274.4647024726117,37.19887196672665
906.3860405855816,301.17181905707866,59.637060545916256
618.9624223680562,343.2639056444089,60.85078592396205
1078.9991965796676,278.6669753226594,57.68554269488943
1231.2260500803488,336.5543862287583,52.760163389102814
804.2859930325019,367.64257441007254,35.451204227275205
952.8434712066046,284.0464006979419,48.48896219793209
1021.4707483438185,247.58168177124693,66.65377312952201
870.4763760361114,325.32498245611004,43.11106913290318
1318.0738165282517,303.456323508123,54.65556181672545
1844.3710983688807,303.05619960603735,41.43541798151963
1702.3723427390835,296.5588490890843,51.42719647833295
611.3664504197156,299.39600051582397,56.45987131247498
1033.199077429911,278.53802658922893,49.943860886132235
955.9859703459297,294.0991146161129,51.89129830292205
1142.005768425608,301.83332683342985,33.940536702141735
1040.3474153653158,294.3709586942752,47.768740171683746
1114.9548900086616,322.5017588544064,52.56976734567227
933.4899127521262,312.4490160028083,62.0847841286207
1162.2291549942352,297.7119425304221,44.41117910769177
1012.7765608889149,294.2220388405566,60.682954833587246
1089.6625698485348,258.5808738768996,60.80774771043467
1024.2046207536184,312.116901753145,53.07202133992061
1151.7606211551952,318.65164867020235,51.795880097569984
982.8560153735364,267.899582606195,41.57205463596137
962.5115123717081,302.9512301005225,39.97858938939044
1119.2603624591388,314.8399923247187,47.93258096176466
1078.7422201771585,276.4213768252509,56.98984311265257
984.1343392232316,311.711518008716,45.81002795530616
1143.9910043112766,329.7687022307168,50.501175961141136
1090.8433570314282,307.9253345907058,54.031320583339486
1050.6280439017876,325.58928256758014,52.60851965691049
869.5249745215655,284.0260749132109,34.772423589743056
1022.54960433177,348.38626155669925,47.84402209260248
1434.3858741584263,268.02403750317416,63.97201126205141
736.5636403305924,265.7968355880282,75.94470892333194
1334.0731514658942,345.96411010506034,55.57456039162074
797.8569260850347,344.8053036292319,70.0501265099698
1155.983623902748,295.3472570362387,55.93052050841925
871.5208745141673,311.9839440472977,51.551369361330515
974.224231406806,382.7781518618299,51.358620209273475
1178.3253391032645,266.47121787217685,43.91743959560504
901.629069357999,272.60593060601485,53.37484536356438
636.6503925105566,285.62475503255,44.22361682777194
1027.4151483973867,317.9396827988831,54.56701355270976
1511.154844814421,273.99460033491744,64.39158319298748
1229.228109381962,285.868201184514,45.83028315413106
1080.4613666828977,305.3439690513744,31.35514962791981
1212.5388170387469,323.7807300642683,51.018225362066964
1266.580840472454,298.94922882574275,49.030258571890464
851.0869717211903,301.1374018512912,63.335455553249965
994.7829948799706,349.331764071869,59.79373877861004
1030.2548582284496,240.80539963920057,53.38271995089711
925.2869799137244,323.25911469850155,53.33851439379206
1138.885790708603,294.64710441159826,59.09572628178673
1250.1966740132611,292.84906404988635,53.94663956496889
1236.8396214611646,287.9759977590105,64.97857762564838
885.7647565845579,260.84546126610473,39.45326372088507
1219.0233602035332,290.90361178243967,66.88432736029145
1117.7680274338195,310.5364902117331,46.02402358227091
1030.5534366540367,292.29918958680076,48.824256442973926
1109.4640889499744,290.52282293921616,56.08345713324568
1363.3158314389084,265.24734352787914,43.184836663892774
1054.9758181275433,329.55118331245353,60.521775116963724
845.8620547133971,315.3426249862222,71.1242668206505
915.7183148194345,299.28536203189344,35.46129934164015
660.1634138410903,291.9946157449034,57.217368663433504
1163.756965834313,265.3979257721103,47.55232171568318
833.9176945296306,309.92538046970503,44.509481063929776
1046.5710282428875,302.29386061676433,51.53021251787339
1083.3908020165873,291.4378269181515,37.937070103784855
1112.6797222764656,277.4723246429478,48.98337930339178
1149.6534213585564,292.9808225626748,52.28867696573902
1369.113383908352,269.813270827343,58.25065805792
763.7718837159771,288.9296705244443,35.47681285395009
985.8053043640222,280.03277239637885,48.10435526796984
907.8306795325572,287.15691623369383,52.768885580744964
1242.9373213365627,308.53373442999936,51.83919596563482
706.7854443287677,306.517936407353,62.88794578057279
1002.0210653737421,298.4226666027582,60.64280690063603
1006.1602523570556,337.54810981303496,70.00720729242968
888.6433768339589,324.1600148271363,60.80746050148589
876.5175545124379,256.00044834270636,71.81971542378098
1033.726834464594,293.96894169373076,52.54090706684864
1450.783093986274,293.3957711092352,49.54078916821754
1363.307309479084,285.16498378252203,41.58370526874552
1349.1613638781523,382.339288560525,33.96743002986755
858.9654751805067,264.5599685018642,51.872976790689144
1033.008961818751,320.82668601773855,55.39364092505033
989.7905083419082,328.68299528493753,45.98597483664724
1046.410899216354,329.9592589727576,37.69528779666979
932.020214235191,284.0519224486183,56.22255253306041
735.2780276744834,311.6194734343236,50.371968318741295
785.9123372041565,346.9526629937677,55.9425739539294
842.5349489723742,309.46310047951096,64.07131001249375
925.4394290324288,293.80045807748246,58.604521467019566
